Games played: 100, Wins: 0, Win rate: 0.00
Games played: 200, Wins: 0, Win rate: 0.00
Games played: 300, Wins: 0, Win rate: 0.00
Games played: 400, Wins: 0, Win rate: 0.00
Games played: 500, Wins: 0, Win rate: 0.00
Games played: 600, Wins: 0, Win rate: 0.00
Games played: 700, Wins: 0, Win rate: 0.00
Games played: 800, Wins: 0, Win rate: 0.00
Games played: 900, Wins: 0, Win rate: 0.00
Games played: 1000, Wins: 0, Win rate: 0.00
Total games: 1000, Total wins: 0, Win rate: 0.00
